id;type;sku;name;status;featured;catalog_visibility;short_description;description;date_on_sale_from;date_on_sale_to;tax_status;tax_class;stock_status;backorders;sold_individually;weight;height;reviews_allowed;purchase_note;price;regular_price;manage_stock/stock_quantitiy;category_ids;tag_ids;shipping_class_id;attributes;attributes;default_attributes;attributes;image_id/gallery_image_ids;attributes;downloads;downloads;download_limit;download_expiry;parent_id;upsell_ids;cross_sell_ids
0;simple;12345;Bebida en polvoToddy 400 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;7.00;;Bebidas y alimentos;;;;;;;toddy 400 gr 7$.jpg;;;;;;;;
1;simple;12346;Leche en polvo san Simon  400 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;4.05;;Bebidas y alimentos;;;;;;;LECHE-EN-POLVO-SAN-SIMON-400GRS 4.05$.jpg;;;;;;;;
2;simple;12347;Bebida Yogurt Migurt de fresa 750 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;6.80;;Bebidas y alimentos;;;;;;;Migurt 750 gr 6,80$.jpg;;;;;;;;
3;simple;12348;Alimento en polvo Cerelac 400 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;6.04;;Bebidas y alimentos;;;;;;;cerelac 400 gr 6.20.jpg;;;;;;;;
4;simple;12349;Bebida Refresco Coca Cola 2 L;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;3.00;;Bebidas y alimentos;;;;;;;Cocacola 2 litros 3$.jpg;;;;;;;;
5;simple;12350;Bebida gaseosa Malta 1.5 L;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;2.03;;Bebidas y alimentos;;;;;;;Malta 1.5 Litros 2.3$.jpg;;;;;;;;
6;simple;12351;Bebida Refresco Sevenup 1.5 L;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;2.50;;Bebidas y alimentos;;;;;;;refresco seven up 2litros 2.5$.jpg;;;;;;;;
7;simple;12352;Cereal Choco Safari Maizoritos 240 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;2.20;;Confiteria;;;;;;;chocosafari 240 gr 2.20$.jpg;;;;;;;;
8;simple;12353;Cereal Cronch flakes Maizoritos 240 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;2.20;;Confiteria;;;;;;;cronch flakes 240 gr 1.90$.jpg;;;;;;;;
9;simple;12354;Cereal Flips Chocolate Alfonso Rivas 220 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.80;;Confiteria;;;;;;;flips chocolate 220 gr 2.10.jpg;;;;;;;;
10;simple;12355;Galletas Oreo chocolate Nabisco 12 unidades;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;2.25;;Confiteria;;;;;;;Oreo 108 gr 12 unidades .2$.jpg;;;;;;;;
11;simple;12356;Pepito orginal XXl  Lays180 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;2.00;;Confiteria;;;;;;;pepitos-180 gramos XXL1.50$.jpg;;;;;;;;
12;simple;12357;Pasta de dientes colgate  Plax 100 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.40;;Higiene y Hogar;;;;;;;pasta de dientes plax 100 gr 1.3$.jpg;;;;;;;;
13;simple;12358;Pasta de dientes colgate Total 75 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.30;;Higiene y Hogar;;;;;;;pasta de dientes total 75 gr 2.3$.jpg;;;;;;;;
14;simple;12359;Acondicionador Drene extra liso 350 ml;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;2.30;;Higiene y Hogar;;;;;;;acondicionador drene  extra liso 350 ml 3.50$.jpg;;;;;;;;
15;simple;12360;Acondicionador Drene seco maltratado 350 ml;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;3.50;;Higiene y Hogar;;;;;;;acondicionador drene  seco maltratado 350 ml 3.50$.jpg;;;;;;;;
16;simple;12361;Shampoo Drene control caspa seco 350ml  ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;3.50;;Higiene y Hogar;;;;;;;drenee control caspa seco 350ml  3.85$.jpg;;;;;;;;
17;simple;12362;Shampoo Head & Shoulder classic clean 200 ml ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;3.50;;Higiene y Hogar;;;;;;;ead&shoulder classic clean 200 ml 3.90$.jpg;;;;;;;;
18;simple;12363;Desodorante Dioxogen aloe vera 90 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;3.50;;Higiene y Hogar;;;;;;;desodorante dioxogen aloe vera 90 gr 2.15$.jpg;;;;;;;;
19;simple;12364;Desodorante Dioxogen bicarbonato 90 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;2.15;;Higiene y Hogar;;;;;;;desodorante dioxogen bicarbonato 90 gr 2.15$.jpg;;;;;;;;
20;simple;12365;Desodorante Speed stick xtrem night 50g ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;2.15;;Higiene y Hogar;;;;;;;desodorante speet stick xtrem night50gr 2.2$.jpg;;;;;;;;
21;simple;12366;Jabón  de baño Dove original 135 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;2.20;;Higiene y Hogar;;;;;;;jabon dove original 135 gr 1.80$.jpg;;;;;;;;
22;simple;12367;Jabón   de baño  Protex aloe vera 100 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.80;;Higiene y Hogar;;;;;;;jabon protex aloe vera 100 gr 1.04$.jpg;;;;;;;;
23;simple;12368;Detergente en polvo  Ace limón 1kg;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.04;;Higiene y Hogar;;;;;;;detergente ace limon 1kg 3.20$.png;;;;;;;;
24;simple;12369;Detergente en polvo Las llaves 400 g;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;3.20;;Higiene y Hogar;;;;;;;detergente las llaves 400 gr 1.2$.jpg;;;;;;;;
25;simple;12370;Detergente Líquido Vel rosa 1L;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.20;;Higiene y Hogar;;;;;;;detergente vel rosa 1litros 4.34$.png;;;;;;;;
26;simple;12371;Papel de baño Perla 4 unidades;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;4.34;;Higiene y Hogar;;;;;;;papel de baño perla 300 hojas 40 gr 0.80$.png;;;;;;;;
27;simple;12372;Papel de baño Rosal 4 unidades;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;0.80;;Higiene y Hogar;;;;;;;Papel rosal.jpg;;;;;;;;
28;simple;12373;Aceite de soya comestible Oriental  828 ml;1;1;visible;;;;;taxable;standard;1;0;1;;;1;;;1.30;;Víveres;;;;;;;aceite maiceite.jpg;;;;;;;;
