id;type;sku;name;status;featured;catalog_visibility;short_description;description;date_on_sale_from;date_on_sale_to;tax_status;tax_class;stock_status;backorders;sold_individually;weight;height;reviews_allowed;purchase_note;price;regular_price;manage_stock/stock_quantitiy;category_ids;tag_ids;shipping_class_id;attributes;attributes;default_attributes;attributes;image_id/gallery_image_ids;attributes;downloads;downloads;download_limit;download_expiry;parent_id;upsell_ids;cross_sell_ids
0;simple;12345;Toddy 400 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;7.00;7.00;7.00;;;;;;;;;;;;;;;;;
1;simple;12346;leche en polvo san Simon  400 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;4.05;4.05;4.05;;;;;;;;;;;;;;;;;
2;simple;12347;Migurt de fresa 750 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;6.80;6.80;6.80;;;;;;;;;;;;;;;;;
3;simple;12348;Cerelac 400 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;6.04;6.04;6.04;;;;;;;;;;;;;;;;;
4;simple;12349;Coca Cola 2 L;1;1;visible;;;;;taxable;standard;1;0;1;;;0;3.00;3.00;3.00;;;;;;;;;;;;;;;;;
5;simple;12350;Malta 1.5 L;1;1;visible;;;;;taxable;standard;1;0;1;;;0;2.03;2.03;2.03;;;;;;;;;;;;;;;;;
6;simple;12351;Sevenup 1.5 L;1;1;visible;;;;;taxable;standard;1;0;1;;;0;2.50;2.50;2.50;;;;;;;;;;;;;;;;;
7;simple;12352;Choco Safari 240 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;2.20;2.20;2.20;;;;;;;;;;;;;;;;;
8;simple;12353;Cronch flakes 240 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;2.20;2.20;2.20;;;;;;;;;;;;;;;;;
9;simple;12354;Flips Chocolate 220 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.80;1.80;1.80;;;;;;;;;;;;;;;;;
10;simple;12355;Oreo de chocolate 108 g 12 unidades;1;1;visible;;;;;taxable;standard;1;0;1;;;0;2.25;2.25;2.25;;;;;;;;;;;;;;;;;
11;simple;12356;Pepito XXl 180 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;2.00;2.00;2.00;;;;;;;;;;;;;;;;;
12;simple;12357;Pasta de dientes Plax 100 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.40;1.40;1.40;;;;;;;;;;;;;;;;;
13;simple;12358;Pasta de dientes Total 75 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.30;1.30;1.30;;;;;;;;;;;;;;;;;
14;simple;12359;Acondicionador Drene extra liso 350 ml;1;1;visible;;;;;taxable;standard;1;0;1;;;0;2.30;2.30;2.30;;;;;;;;;;;;;;;;;
15;simple;12360;Acondicionador Drene seco maltratado 350 ml;1;1;visible;;;;;taxable;standard;1;0;1;;;0;3.50;3.50;3.50;;;;;;;;;;;;;;;;;
16;simple;12361;Shampoo Drene control caspa seco 350ml  ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;3.50;3.50;3.50;;;;;;;;;;;;;;;;;
17;simple;12362;Shampoo Head & Shoulder classic clean 200 ml ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;3.50;3.50;3.50;;;;;;;;;;;;;;;;;
18;simple;12363;Desodorante Dioxogen aloe vera 90 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;3.50;3.50;3.50;;;;;;;;;;;;;;;;;
19;simple;12364;Desodorante Dioxogen bicarbonato 90 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;2.15;2.15;2.15;;;;;;;;;;;;;;;;;
20;simple;12365;Desodorante Speed stick xtrem night 50g ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;2.15;2.15;2.15;;;;;;;;;;;;;;;;;
21;simple;12366;Jabón Dove original 135 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;2.20;2.20;2.20;;;;;;;;;;;;;;;;;
22;simple;12367;Jabón Protex aloe vera 100 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.80;1.80;1.80;;;;;;;;;;;;;;;;;
23;simple;12368;Detergente Ace limón 1kg;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.04;1.04;1.04;;;;;;;;;;;;;;;;;
24;simple;12369;Detergente las llaves 400 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;3.20;3.20;3.20;;;;;;;;;;;;;;;;;
25;simple;12370;Detergente Vel rosa 1L;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.20;1.20;1.20;;;;;;;;;;;;;;;;;
26;simple;12371;Papel de baño perla 300 hojas ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;4.34;4.34;4.34;;;;;;;;;;;;;;;;;
27;simple;12372;Papel-rosal-x4 215 hojas;1;1;visible;;;;;taxable;standard;1;0;1;;;0;0.80;0.80;0.80;;;;;;;;;;;;;;;;;
28;simple;12373;Aceite Oriental  1 L;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.30;1.30;1.30;;;;;;;;;;;;;;;;;
29;simple;12374;Aceite Mazeite de maíz 1  L;1;1;visible;;;;;taxable;standard;1;0;1;;;0;2.80;2.80;2.80;;;;;;;;;;;;;;;;;
30;simple;12375;Arroz blanco tipo 1 Mary 1kg;1;1;visible;;;;;taxable;standard;1;0;1;;;0;4.60;4.60;4.60;;;;;;;;;;;;;;;;;
31;simple;12376;Arroz Primor 1 kg;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.10;1.10;1.10;;;;;;;;;;;;;;;;;
32;simple;12377;Puré de tomate Heinz 490 g;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.75;1.75;1.75;;;;;;;;;;;;;;;;;
33;simple;12378;Mostaza Heinz 500 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;3.45;3.45;3.45;;;;;;;;;;;;;;;;;
34;simple;12379;Mayonesa Kratf 445 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;4.50;4.50;4.50;;;;;;;;;;;;;;;;;
35;simple;12380;Salsa de tomate kétchup Heinz 397g ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;3.00;3.00;3.00;;;;;;;;;;;;;;;;;
36;simple;12381;Salsa de Tomate tiquire flores 380 g ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.40;1.40;1.40;;;;;;;;;;;;;;;;;
37;simple;12382;Sal fina Salmar 1kg ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;1.45;1.45;1.45;;;;;;;;;;;;;;;;;
38;simple;12383;Harina blanca Juana 1kg;1;1;visible;;;;;taxable;standard;1;0;1;;;0;0.68;0.68;0.68;;;;;;;;;;;;;;;;;
39;simple;12384;Harina Doña maría trigo 1 kg ;1;1;visible;;;;;taxable;standard;1;0;1;;;0;0.95;0.95;0.95;;;;;;;;;;;;;;;;;
